actor_id,identifier,namespace,datasource_id
AD-ALV,AD-ALV,UNLOCODE,UNLOCODE:2022-1
AD-CAN,AD-CAN,UNLOCODE,UNLOCODE:2022-1
AD-ENC,AD-ENC,UNLOCODE,UNLOCODE:2022-1
AD-ESC,AD-ESC,UNLOCODE,UNLOCODE:2022-1
AD-EAC,AD-EAC,UNLOCODE,UNLOCODE:2022-1
AD-FMO,AD-FMO,UNLOCODE,UNLOCODE:2022-1
AD-LMA,AD-LMA,UNLOCODE,UNLOCODE:2022-1
AD-ORD,AD-ORD,UNLOCODE,UNLOCODE:2022-1
AD-PAS,AD-PAS,UNLOCODE,UNLOCODE:2022-1
AD-SJL,AD-SJL,UNLOCODE,UNLOCODE:2022-1
AD-SCO,AD-SCO,UNLOCODE,UNLOCODE:2022-1
AE-AUH,AE-AUH,UNLOCODE,UNLOCODE:2022-1
AE-AJM,AE-AJM,UNLOCODE,UNLOCODE:2022-1
AE-ALB,AE-ALB,UNLOCODE,UNLOCODE:2022-1
AE-DHF,AE-DHF,UNLOCODE,UNLOCODE:2022-1
AE-HAM,AE-HAM,UNLOCODE,UNLOCODE:2022-1
AE-AJP,AE-AJP,UNLOCODE,UNLOCODE:2022-1
AE-DBI,AE-DBI,UNLOCODE,UNLOCODE:2022-1
AE-ALQ,AE-ALQ,UNLOCODE,UNLOCODE:2022-1
AE-ALS,AE-ALS,UNLOCODE,UNLOCODE:2022-1
AE-DER,AE-DER,UNLOCODE,UNLOCODE:2022-1
AE-DBP,AE-DBP,UNLOCODE,UNLOCODE:2022-1
AE-DXB,AE-DXB,UNLOCODE,UNLOCODE:2022-1
AE-DWC,AE-DWC,UNLOCODE,UNLOCODE:2022-1
AE-HAB,AE-HAB,UNLOCODE,UNLOCODE:2022-1
AE-HSN,AE-HSN,UNLOCODE,UNLOCODE:2022-1
AE-HAT,AE-HAT,UNLOCODE,UNLOCODE:2022-1
AE-IND,AE-IND,UNLOCODE,UNLOCODE:2022-1
AE-QWE,AE-QWE,UNLOCODE,UNLOCODE:2022-1
AE-JYH,AE-JYH,UNLOCODE,UNLOCODE:2022-1
AE-KLB,AE-KLB,UNLOCODE,UNLOCODE:2022-1
AE-KHA,AE-KHA,UNLOCODE,UNLOCODE:2022-1
AE-MKH,AE-MKH,UNLOCODE,UNLOCODE:2022-1
AE-REI,AE-REI,UNLOCODE,UNLOCODE:2022-1
AE-SHJ,AE-SHJ,UNLOCODE,UNLOCODE:2022-1
AE-SIL,AE-SIL,UNLOCODE,UNLOCODE:2022-1
AE-SWE,AE-SWE,UNLOCODE,UNLOCODE:2022-1
AF-ASH,AF-ASH,UNLOCODE,UNLOCODE:2022-1
AF-BAG,AF-BAG,UNLOCODE,UNLOCODE:2022-1
AF-BIN,AF-BIN,UNLOCODE,UNLOCODE:2022-1
AF-BEP,AF-BEP,UNLOCODE,UNLOCODE:2022-1
AF-CBN,AF-CBN,UNLOCODE,UNLOCODE:2022-1
AF-CDW,AF-CDW,UNLOCODE,UNLOCODE:2022-1
AF-CLN,AF-CLN,UNLOCODE,UNLOCODE:2022-1
AF-CSO,AF-CSO,UNLOCODE,UNLOCODE:2022-1
AF-CWO,AF-CWO,UNLOCODE,UNLOCODE:2022-1
AF-ISQ,AF-ISQ,UNLOCODE,UNLOCODE:2022-1
AF-FRO,AF-FRO,UNLOCODE,UNLOCODE:2022-1
AF-RMD,AF-RMD,UNLOCODE,UNLOCODE:2022-1
AF-SHK,AF-SHK,UNLOCODE,UNLOCODE:2022-1
AF-GAR,AF-GAR,UNLOCODE,UNLOCODE:2022-1
AF-KBL,AF-KBL,UNLOCODE,UNLOCODE:2022-1
AF-KMU,AF-KMU,UNLOCODE,UNLOCODE:2022-1
AF-KDH,AF-KDH,UNLOCODE,UNLOCODE:2022-1
AF-KHO,AF-KHO,UNLOCODE,UNLOCODE:2022-1
AF-KWT,AF-KWT,UNLOCODE,UNLOCODE:2022-1
AF-LAG,AF-LAG,UNLOCODE,UNLOCODE:2022-1
AF-MWD,AF-MWD,UNLOCODE,UNLOCODE:2022-1
AF-MEH,AF-MEH,UNLOCODE,UNLOCODE:2022-1
AF-MEY,AF-MEY,UNLOCODE,UNLOCODE:2022-1
AF-ORG,AF-ORG,UNLOCODE,UNLOCODE:2022-1
AF-PSD,AF-PSD,UNLOCODE,UNLOCODE:2022-1
AF-PEC,AF-PEC,UNLOCODE,UNLOCODE:2022-1
AF-QLT,AF-QLT,UNLOCODE,UNLOCODE:2022-1
AF-QYN,AF-QYN,UNLOCODE,UNLOCODE:2022-1
AF-SHE,AF-SHE,UNLOCODE,UNLOCODE:2022-1
AF-SDD,AF-SDD,UNLOCODE,UNLOCODE:2022-1
AF-SBK,AF-SBK,UNLOCODE,UNLOCODE:2022-1
AF-TKO,AF-TKO,UNLOCODE,UNLOCODE:2022-1
AF-TOW,AF-TOW,UNLOCODE,UNLOCODE:2022-1
AF-ZHA,AF-ZHA,UNLOCODE,UNLOCODE:2022-1
AI-CRH,AI-CRH,UNLOCODE,UNLOCODE:2022-1
AI-RBY,AI-RBY,UNLOCODE,UNLOCODE:2022-1
AI-VAL,AI-VAL,UNLOCODE,UNLOCODE:2022-1
AL-ARG,AL-ARG,UNLOCODE,UNLOCODE:2022-1
AL-BRT,AL-BRT,UNLOCODE,UNLOCODE:2022-1
AL-BQE,AL-BQE,UNLOCODE,UNLOCODE:2022-1
AL-NPP,AL-NPP,UNLOCODE,UNLOCODE:2022-1
AL-FIE,AL-FIE,UNLOCODE,UNLOCODE:2022-1
AL-GOK,AL-GOK,UNLOCODE,UNLOCODE:2022-1
AL-KRC,AL-KRC,UNLOCODE,UNLOCODE:2022-1
AL-KKU,AL-KKU,UNLOCODE,UNLOCODE:2022-1
AL-LZE,AL-LZE,UNLOCODE,UNLOCODE:2022-1
AL-LUS,AL-LUS,UNLOCODE,UNLOCODE:2022-1
AL-MBR,AL-MBR,UNLOCODE,UNLOCODE:2022-1
AL-MIL,AL-MIL,UNLOCODE,UNLOCODE:2022-1
AL-ROM,AL-ROM,UNLOCODE,UNLOCODE:2022-1
AL-SHK,AL-SHK,UNLOCODE,UNLOCODE:2022-1
AL-VOR,AL-VOR,UNLOCODE,UNLOCODE:2022-1
AM-A3A,AM-A3A,UNLOCODE,UNLOCODE:2022-1
AM-ASH,AM-ASH,UNLOCODE,UNLOCODE:2022-1
AM-BYU,AM-BYU,UNLOCODE,UNLOCODE:2022-1
AM-EZN,AM-EZN,UNLOCODE,UNLOCODE:2022-1
AM-HRA,AM-HRA,UNLOCODE,UNLOCODE:2022-1
AM-KJN,AM-KJN,UNLOCODE,UNLOCODE:2022-1
AM-KPN,AM-KPN,UNLOCODE,UNLOCODE:2022-1
AM-ARM,AM-ARM,UNLOCODE,UNLOCODE:2022-1
AM-MMA,AM-MMA,UNLOCODE,UNLOCODE:2022-1
AM-RN4,AM-RN4,UNLOCODE,UNLOCODE:2022-1
AM-SPI,AM-SPI,UNLOCODE,UNLOCODE:2022-1
AM-VZR,AM-VZR,UNLOCODE,UNLOCODE:2022-1
AM-VED,AM-VED,UNLOCODE,UNLOCODE:2022-1
AM-EVN,AM-EVN,UNLOCODE,UNLOCODE:2022-1
AO-BEL,AO-BEL,UNLOCODE,UNLOCODE:2022-1
AO-LUC,AO-LUC,UNLOCODE,UNLOCODE:2022-1
AO-MLO,AO-MLO,UNLOCODE,UNLOCODE:2022-1
AO-MDZ,AO-MDZ,UNLOCODE,UNLOCODE:2022-1
AO-MTL,AO-MTL,UNLOCODE,UNLOCODE:2022-1
AO-MOS,AO-MOS,UNLOCODE,UNLOCODE:2022-1
AO-NQI,AO-NQI,UNLOCODE,UNLOCODE:2022-1
AO-PLE,AO-PLE,UNLOCODE,UNLOCODE:2022-1
AO-STC,AO-STC,UNLOCODE,UNLOCODE:2022-1
AO-NDD,AO-NDD,UNLOCODE,UNLOCODE:2022-1
AO-VNA,AO-VNA,UNLOCODE,UNLOCODE:2022-1
AQ-AMS,AQ-AMS,UNLOCODE,UNLOCODE:2022-1
AQ-BEL,AQ-BEL,UNLOCODE,UNLOCODE:2022-1
AQ-CON,AQ-CON,UNLOCODE,UNLOCODE:2022-1
AQ-DMF,AQ-DMF,UNLOCODE,UNLOCODE:2022-1
AQ-DRZ,AQ-DRZ,UNLOCODE,UNLOCODE:2022-1
AQ-GDC,AQ-GDC,UNLOCODE,UNLOCODE:2022-1
AQ-MTR,AQ-MTR,UNLOCODE,UNLOCODE:2022-1
AQ-NEU,AQ-NEU,UNLOCODE,UNLOCODE:2022-1
AQ-NOV,AQ-NOV,UNLOCODE,UNLOCODE:2022-1
AQ-SNA,AQ-SNA,UNLOCODE,UNLOCODE:2022-1
AQ-SBA,AQ-SBA,UNLOCODE,UNLOCODE:2022-1
AQ-TOR,AQ-TOR,UNLOCODE,UNLOCODE:2022-1
AQ-TRL,AQ-TRL,UNLOCODE,UNLOCODE:2022-1
AQ-VOS,AQ-VOS,UNLOCODE,UNLOCODE:2022-1
AR-ABA,AR-ABA,UNLOCODE,UNLOCODE:2022-1
AR-ACA,AR-ACA,UNLOCODE,UNLOCODE:2022-1
AR-ACS,AR-ACS,UNLOCODE,UNLOCODE:2022-1
AR-AVD,AR-AVD,UNLOCODE,UNLOCODE:2022-1
AR-AC5,AR-AC5,UNLOCODE,UNLOCODE:2022-1
AR-AMA,AR-AMA,UNLOCODE,UNLOCODE:2022-1
AR-AGS,AR-AGS,UNLOCODE,UNLOCODE:2022-1
AR-AIM,AR-AIM,UNLOCODE,UNLOCODE:2022-1
AR-ALN,AR-ALN,UNLOCODE,UNLOCODE:2022-1
AR-ALI,AR-ALI,UNLOCODE,UNLOCODE:2022-1
AR-AEA,AR-AEA,UNLOCODE,UNLOCODE:2022-1
AR-ADS,AR-ADS,UNLOCODE,UNLOCODE:2022-1
AR-ALL,AR-ALL,UNLOCODE,UNLOCODE:2022-1
AR-ALE,AR-ALE,UNLOCODE,UNLOCODE:2022-1
AR-ALS,AR-ALS,UNLOCODE,UNLOCODE:2022-1
AR-ASL,AR-ASL,UNLOCODE,UNLOCODE:2022-1
AR-ARR,AR-ARR,UNLOCODE,UNLOCODE:2022-1
AR-LTV,AR-LTV,UNLOCODE,UNLOCODE:2022-1
AR-ALZ,AR-ALZ,UNLOCODE,UNLOCODE:2022-1
AR-ANA,AR-ANA,UNLOCODE,UNLOCODE:2022-1
AR-ANC,AR-ANC,UNLOCODE,UNLOCODE:2022-1
AR-ADC,AR-ADC,UNLOCODE,UNLOCODE:2022-1
AR-AND,AR-AND,UNLOCODE,UNLOCODE:2022-1
AR-ANO,AR-ANO,UNLOCODE,UNLOCODE:2022-1
AR-APO,AR-APO,UNLOCODE,UNLOCODE:2022-1
AR-ARN,AR-ARN,UNLOCODE,UNLOCODE:2022-1
AR-AVO,AR-AVO,UNLOCODE,UNLOCODE:2022-1
AR-ARG,AR-ARG,UNLOCODE,UNLOCODE:2022-1
AR-ACF,AR-ACF,UNLOCODE,UNLOCODE:2022-1
AR-AYO,AR-AYO,UNLOCODE,UNLOCODE:2022-1
AR-AST,AR-AST,UNLOCODE,UNLOCODE:2022-1
AR-ATU,AR-ATU,UNLOCODE,UNLOCODE:2022-1
AR-AVE,AR-AVE,UNLOCODE,UNLOCODE:2022-1
AR-AVS,AR-AVS,UNLOCODE,UNLOCODE:2022-1
AR-AZU,AR-AZU,UNLOCODE,UNLOCODE:2022-1
AR-BSB,AR-BSB,UNLOCODE,UNLOCODE:2022-1
AR-BAJ,AR-BAJ,UNLOCODE,UNLOCODE:2022-1
AR-BHO,AR-BHO,UNLOCODE,UNLOCODE:2022-1
AR-BCA,AR-BCA,UNLOCODE,UNLOCODE:2022-1
AR-BES,AR-BES,UNLOCODE,UNLOCODE:2022-1
AR-BDR,AR-BDR,UNLOCODE,UNLOCODE:2022-1
AR-BAD,AR-BAD,UNLOCODE,UNLOCODE:2022-1
AR-BAR,AR-BAR,UNLOCODE,UNLOCODE:2022-1
AR-BAL,AR-BAL,UNLOCODE,UNLOCODE:2022-1
AR-BTN,AR-BTN,UNLOCODE,UNLOCODE:2022-1
AR-BMS,AR-BMS,UNLOCODE,UNLOCODE:2022-1
AR-BEC,AR-BEC,UNLOCODE,UNLOCODE:2022-1
AR-BVL,AR-BVL,UNLOCODE,UNLOCODE:2022-1
AR-BEL,AR-BEL,UNLOCODE,UNLOCODE:2022-1
AR-BVA,AR-BVA,UNLOCODE,UNLOCODE:2022-1
AR-BVZ,AR-BVZ,UNLOCODE,UNLOCODE:2022-1
AR-BEA,AR-BEA,UNLOCODE,UNLOCODE:2022-1
AR-BJR,AR-BJR,UNLOCODE,UNLOCODE:2022-1
AR-BER,AR-BER,UNLOCODE,UNLOCODE:2022-1
AR-BRN,AR-BRN,UNLOCODE,UNLOCODE:2022-1
AR-BOL,AR-BOL,UNLOCODE,UNLOCODE:2022-1
AR-BOU,AR-BOU,UNLOCODE,UNLOCODE:2022-1
AR-BON,AR-BON,UNLOCODE,UNLOCODE:2022-1
AR-BGO,AR-BGO,UNLOCODE,UNLOCODE:2022-1
AR-BUE,AR-BUE,UNLOCODE,UNLOCODE:2022-1
AR-BUU,AR-BUU,UNLOCODE,UNLOCODE:2022-1
AR-BUR,AR-BUR,UNLOCODE,UNLOCODE:2022-1
AR-CAB,AR-CAB,UNLOCODE,UNLOCODE:2022-1
AR-CFY,AR-CFY,UNLOCODE,UNLOCODE:2022-1
AR-CAS,AR-CAS,UNLOCODE,UNLOCODE:2022-1
AR-CGO,AR-CGO,UNLOCODE,UNLOCODE:2022-1
AR-CLO,AR-CLO,UNLOCODE,UNLOCODE:2022-1
AR-CQO,AR-CQO,UNLOCODE,UNLOCODE:2022-1
AR-CRO,AR-CRO,UNLOCODE,UNLOCODE:2022-1
AR-CSO,AR-CSO,UNLOCODE,UNLOCODE:2022-1
AR-CVO,AR-CVO,UNLOCODE,UNLOCODE:2022-1
AR-CGA,AR-CGA,UNLOCODE,UNLOCODE:2022-1
AR-CDS,AR-CDS,UNLOCODE,UNLOCODE:2022-1
AR-CSN,AR-CSN,UNLOCODE,UNLOCODE:2022-1
AR-CAA,AR-CAA,UNLOCODE,UNLOCODE:2022-1
AR-CCB,AR-CCB,UNLOCODE,UNLOCODE:2022-1
AR-CAN,AR-CAN,UNLOCODE,UNLOCODE:2022-1
AR-CDN,AR-CDN,UNLOCODE,UNLOCODE:2022-1
AR-CAO,AR-CAO,UNLOCODE,UNLOCODE:2022-1
AR-CSL,AR-CSL,UNLOCODE,UNLOCODE:2022-1
AR-CTL,AR-CTL,UNLOCODE,UNLOCODE:2022-1
AR-CAT,AR-CAT,UNLOCODE,UNLOCODE:2022-1
AR-CTO,AR-CTO,UNLOCODE,UNLOCODE:2022-1
AR-CUE,AR-CUE,UNLOCODE,UNLOCODE:2022-1
AR-CEN,AR-CEN,UNLOCODE,UNLOCODE:2022-1
AR-CAL,AR-CAL,UNLOCODE,UNLOCODE:2022-1
AR-CVP,AR-CVP,UNLOCODE,UNLOCODE:2022-1
AR-CSS,AR-CSS,UNLOCODE,UNLOCODE:2022-1
AR-CCO,AR-CCO,UNLOCODE,UNLOCODE:2022-1
AR-CDC,AR-CDC,UNLOCODE,UNLOCODE:2022-1
AR-CHA,AR-CHA,UNLOCODE,UNLOCODE:2022-1
AR-CVY,AR-CVY,UNLOCODE,UNLOCODE:2022-1
AR-CST,AR-CST,UNLOCODE,UNLOCODE:2022-1
AR-CPA,AR-CPA,UNLOCODE,UNLOCODE:2022-1
AR-CYB,AR-CYB,UNLOCODE,UNLOCODE:2022-1
AR-EVA,AR-EVA,UNLOCODE,UNLOCODE:2022-1
AR-CIU,AR-CIU,UNLOCODE,UNLOCODE:2022-1
AR-CLN,AR-CLN,UNLOCODE,UNLOCODE:2022-1
AR-CZO,AR-CZO,UNLOCODE,UNLOCODE:2022-1
AR-CON,AR-CON,UNLOCODE,UNLOCODE:2022-1
AR-COS,AR-COS,UNLOCODE,UNLOCODE:2022-1
AR-CCP,AR-CCP,UNLOCODE,UNLOCODE:2022-1
AR-CMG,AR-CMG,UNLOCODE,UNLOCODE:2022-1
AR-COA,AR-COA,UNLOCODE,UNLOCODE:2022-1
AR-CDA,AR-CDA,UNLOCODE,UNLOCODE:2022-1
AR-CEO,AR-CEO,UNLOCODE,UNLOCODE:2022-1
AR-CAZ,AR-CAZ,UNLOCODE,UNLOCODE:2022-1
AR-CDP,AR-CDP,UNLOCODE,UNLOCODE:2022-1
AR-CDE,AR-CDE,UNLOCODE,UNLOCODE:2022-1
AR-CNO,AR-CNO,UNLOCODE,UNLOCODE:2022-1
